Name,Address,City,State,Zip,Discount,Discount_Detail,Link,Latitude,Longitude,Precision,Category1,Category2,Category3,Category4,
TEA Palace Asian Restaurant & Banquet,2828 Sunset Ln NE,Renton,WA,98056,2-for-1 Lunch or Dinner,UP TO $15.00 VALUE,http://seattle.entertainment.com/discount/TEA_Palace_Asian_Restaurant__Banquet/coupon/00313708003RED01178783EPC00499999PRD00000001.html,47.500944,-122.18085,address,Dining,Asian,,,
Royal Orchid,104 Rainier Ave. S.,Renton,WA,98057,2-for-1 Lunch or Dinner,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Royal_Orchid/coupon/00316403003RED01340032EPC00496999PRD00000001.html,47.483029,-122.217111,address,Dining,Asian,,,
Irene Family Thai Restaurant,17530 132nd Ave. N.E.,Woodinville,WA,98072,2-for-1 Dinner,UP TO $8.00 VALUE,http://seattle.entertainment.com/discount/Irene_Family_Thai_Restaurant/coupon/00313636003RED01174517EPC00496999PRD00000001.html,47.755024,-122.163269,address,Dining,Asian,,,
Thai Woodinville,17610 - 140th Ave. N.E.,Woodinville,WA,98072,2-for-1 Lunch or Dinner,UP TO $11.00 VALUE,http://seattle.entertainment.com/discount/Thai_Woodinville/coupon/00314719003RED01261183EPC00496999PRD00000001.html,47.755313,-122.152581,address,Dining,Asian,,,
Ginger Palace,16720 International Blvd.,Seatac,WA,98188,2-for-1 Lunch or Dinner,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Ginger_Palace/coupon/00308934003RED00904314EPC00496999PRD00000001.html,47.452683,-122.294996,address,Dining,Asian,,,
Racha Thai & Asian Kitchen,1150 Southcenter Mall,Tukwila,WA,98188,10% Off Discount,10% OFF,http://seattle.entertainment.com/discount/Racha_Thai__Asian_Kitchen/coupon/00317680003RED01333471EPC00497999PRD00000056.html,47.459406,-122.255534,address,Dining,Asian,,,
Toshi's Teriyaki,20829 Hwy. 99 Ste. C,Lynnwood,WA,98036,2-for-1 Menu Item,UP TO $5.00 VALUE,http://seattle.entertainment.com/discount/Toshis_Teriyaki/coupon/00313633003RED01176541EPC00496999PRD00000001.html,47.809697,-122.324267,address,Dining,Asian,,,
Mayflower of China,17005 Southcenter Pkwy,Tukwila,WA,98188,2-for-1 Dinner,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Mayflower_of_China/coupon/00317652003RED01271919EPC00497999PRD00000001.html,47.451067,-122.26267,address,Dining,Asian,,,
Hot Iron Mongolian Grill,4605 NE 4th St.,Renton,WA,98056,Special Value,50% OFF,http://seattle.entertainment.com/discount/Hot_Iron_Mongolian_Grill/coupon/00317256003RED01378252EPC00497999PRD00000001.html,47.488384,-122.157371,address,Dining,Asian,,,
Asian Wok,6815 196th St. S.W.,Lynnwood,WA,98036,2-for-1 Lunch or Dinner,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Asian_Wok/coupon/00317742003RED01271770EPC00497999PRD00000001.html,47.821472,-122.325413,address,Dining,Asian,,,
Aloha Hawaiian Grill,18016 71st Ave Ste 102,Kent,WA,98032,2-for-1 Lunch or Dinner,UP TO $8.00 VALUE,http://seattle.entertainment.com/discount/Aloha_Hawaiian_Grill/coupon/05004524050RED01169161EPC00496999PRD00000001.html,47.441095,-122.244509,address,Dining,Asian,,,
Kelvin G's Tropic Blast & Tiki Bar,2825 Wheaton Way,Bremerton,WA,98310,2-for-1 Lunch or Dinner,UP TO $8.00 VALUE,http://seattle.entertainment.com/discount/Kelvin_Gs_Tropic_Blast__Tiki_Bar/coupon/05004844050RED01246637EPC00496999PRD00000001.html,47.589169,-122.629785,address,Dining,Asian,,,
Pho Alderwood,2701 184th St. S.W.,Lynnwood,WA,98037,2-for-1 Lunch or Dinner,UP TO $7.00 VALUE,http://seattle.entertainment.com/discount/Pho_Alderwood/coupon/00310441003RED00852492EPC00496999PRD00000001.html,47.83198,-122.269745,address,Dining,Asian,,,
Saffron Deli & Pastry,700 NW Gilman Blvd.,Issaquah,WA,98027,2-for-1 Menu Item,UP TO $6.00 VALUE,http://seattle.entertainment.com/discount/Saffron_Deli__Pastry/coupon/00317226003RED01378238EPC00497999PRD00000001.html,47.543441,-122.047103,address,Dining,Asian,,,
Suthanya Thai Renaissance Bistro,21630 7th Place South,Des Moines,WA,98198,2-for-1 Lunch or Dinner,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Suthanya_Thai_Renaissance_Bistro/coupon/00314623003RED01248209EPC00499999PRD00000001.html,47.40808,-122.324714,address,Dining,Asian,,,
Pho Hai Son Vietnamese,1233 164th St. S.W.,Lynnwood,WA,98087,2-for-1 Entree,UP TO $8.00 VALUE,http://seattle.entertainment.com/discount/Pho_Hai_Son_Vietnamese/coupon/00309290003RED00919204EPC00496999PRD00000001.html,47.849856,-122.250318,address,Dining,Asian,,,
Todamgol Korean Restaurant,1120 164th St SW; Ste. L,Lynnwood,WA,98087,2-for-1 Lunch or Dinner,UP TO $9.00 VALUE,http://seattle.entertainment.com/discount/Todamgol_Korean_Restaurant/coupon/00313654003RED01177338EPC00496999PRD00000001.html,47.849559,-122.248942,address,Dining,Asian,,,
Thai Bistro,1018 - 164th St. S.E.,Mill Creek,WA,98012,2-for-1 Lunch,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Thai_Bistro/coupon/00312062003RED00863494EPC00496999PRD00000001.html,47.849382,-122.218753,address,Dining,Asian,,,
Zen Garden Restaurant,16300 Mill Creek Blvd,Mill Creek,WA,98012,Special Offer,FREE,http://seattle.entertainment.com/discount/Zen_Garden_Restaurant/coupon/00315730003RED01301815EPC00499999PRD00000001.html,47.850399,-122.221012,address,Dining,Asian,,,
Hot Iron Mongolian Grill,15418 Main St.,Mill Creek,WA,98012,Special Value,50% OFF,http://seattle.entertainment.com/discount/Hot_Iron_Mongolian_Grill/coupon/00317256003RED01176968EPC00497999PRD00000001.html,47.858524,-122.220463,address,Dining,Asian,,,
Kings Mongolian Grill,617 128th Street Southwest,Everett,WA,98204,Special Value,50% OFF ONE DINNER BOWL,http://seattle.entertainment.com/discount/Kings_Mongolian_Grill/coupon/00316809003RED01358272EPC00497999PRD00000001.html,47.882057,-122.242227,address,Dining,Asian,,,
Sushi Spott,1700 132nd St. SE #J,Mill Creek,WA,98012,20% Off Total Bill,UP TO $25.00 VALUE,http://seattle.entertainment.com/discount/Sushi_Spott/coupon/00317067003RED01374898EPC00497999PRD00000056.html,47.878063,-122.210869,address,Dining,Asian,,,
New Eng's Restaurant & Bar,25410 - 104th Ave. SE,Kent,WA,98031,2-for-1 Dinner,UP TO $9.00 VALUE,http://seattle.entertainment.com/discount/New_Engs_Restaurant__Bar/coupon/05005800050RED01379046EPC00497999PRD00000001.html,47.374041,-122.202173,address,Dining,Asian,,,
Lanna Thai Restaurant,7825 Evergreen Way Ste B,Everett,WA,98208,2-for-1 Lunch or Dinner,UP TO $15.00 VALUE,http://seattle.entertainment.com/discount/Lanna_Thai_Restaurant/coupon/00314398003RED01235668EPC00499999PRD00000001.html,47.927483,-122.222777,address,Dining,Asian,,,
Chang's Mongolian Grill,7601 Evergreen Way,Everett,WA,98203,Special Offer,25% OFF,http://seattle.entertainment.com/discount/Changs_Mongolian_Grill/coupon/00315554003RED01287228EPC00497999PRD00000001.html,47.929213,-122.221171,address,Dining,Asian,,,
Pho Hoang Vietnamese Restaurant,31871 Gateway Ctr. Blvd. S.,Federal Way,WA,98003,50% Off Total Bill,UP TO $7.00 VALUE,http://seattle.entertainment.com/discount/Pho_Hoang_Vietnamese_Restaurant/coupon/00304728003RED00791960EPC00496999PRD00000001.html,47.316537,-122.299543,address,Dining,Asian,,,
